ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,FB_Regard_Rating,FB_Privacy_Rating,FB_Recommend,Insta_Regard_Rating,Insta_Privacy_Rating,Insta_Recommend,WA_Regard_Rating,WA_Privacy_Rating,WA_Recommend
182,4,1,1,8,24:00,1447,44.27600098,-88.3730011,4,3,5,4,4,5,5,6,7
183,6,1,1,8,11:00,623,40.92720032,-74.30390167,2,0,5,4,0,0,4,5,5
184,5,2,1,4,15:00,883,44.45320129,-83.54090118,3,1,8,4,1,5,2,0,0
185,3,1,1,5,04:00,203,30.63110352,-88.2818985,5,2,2,5,10,4,3,6,2
186,3,1,1,5,04:00,264,39.73510742,-75.66840363,4,2,6,5,8,3,4,0,0
187,2,1,1,8,23:00,1363,25.78059387,-80.18260193,4,4,3,6,4,8,7,9,10
188,2,1,1,5,09:00,505,45.65109253,-111.1776962,2,3,2,3,5,4,4,5,0
189,3,2,1,5,06:00,349,43.01390076,-71.43520355,7,9,10,6,8,10,4,5,5
190,2,1,5,8,05:00,276,40.74969482,-73.85340118,5,1,5,4,4,6,4,5,5
191,3,1,1,4,11:00,650,29.06550598,-95.38279724,6,8,10,5,5,7,2,0,5
192,3,3,1,8,07:00,473,38.2631073,-90.56890106,1,2,5,2,2,5,1,1,0
193,3,2,1,8,15:00,845,39.7696991,-76.65630341,7,7,10,4,0,0,4,0,0
194,3,1,1,5,07:00,378,27.77879333,-82.68229675,6,5,7,2,5,5,1,6,2
195,3,1,5,8,08:00,470,40.74000549,-73.93609619,3,3,3,6,4,8,2,0,0
196,4,1,1,7,12:00,720,37.35400391,-76.74669647,3,1,6,1,2,4,1,1,0
197,2,2,1,7,09:00,540,42.65800476,-83.18430328,2,0,1,2,0,0,2,5,5
198,2,1,2,7,13:00,751,39.48849487,-88.35959625,6,7,10,7,7,10,6,9,10
199,3,1,1,10,24:00,1465,33.67480469,-111.9518967,7,7,7,6,8,9,5,7,8
200,3,2,3,5,10:00,579,34.3401947,-89.48329926,7,7,10,1,3,0,1,0,0
201,2,2,1,8,09:00,506,23.72900391,90.41119385,7,7,10,6,9,9,6,6,5
202,3,2,1,7,09:00,537,29.96800232,-90.02929688,7,8,10,4,4,5,4,5,0
203,4,2,1,8,05:00,319,42.72860718,-83.14759827,5,7,10,5,6,2,1,5,5
204,2,1,3,8,09:00,530,14.57530212,-60.97450256,5,1,1,6,3,6,7,8,6
205,5,2,3,9,13:00,773,28.21580505,-82.6595993,6,8,8,4,5,6,4,6,0
206,3,2,1,6,11:00,680,44.94290161,-123.0350952,1,1,1,3,4,1,1,0,0
207,3,2,1,7,11:00,689,41.15690613,-85.05560303,7,7,10,3,3,0,2,5,0
208,4,2,3,5,14:00,840,40.90829468,-73.83460236,5,4,9,3,3,8,3,3,4
209,3,2,5,7,11:00,692,38.68389893,-121.052597,2,0,0,5,1,6,2,1,0
210,3,2,5,8,11:00,652,43.01229858,-81.23069763,1,1,1,1,5,1,1,5,0
211,3,2,1,8,12:00,726,42.63420105,-72.6026001,3,4,5,3,3,0,4,5,0
212,4,2,1,6,12:00,732,32.90829468,-97.42829895,6,3,10,6,4,10,4,5,7
213,2,1,1,7,09:00,561,41.33869934,-72.69069672,6,7,9,5,7,8,5,7,6
214,2,2,3,8,13:00,803,30.61309814,-96.32170105,7,8,10,5,4,5,7,10,10
215,3,2,1,5,03:00,212,40.50990295,-85.62640381,6,6,8,6,7,4,7,7,7
216,4,2,5,8,10:00,617,32.23129272,-95.29579926,4,4,1,4,5,6,1,0,0
217,3,1,1,8,20:00,1177,33.9828949,-84.32420349,4,6,8,5,7,7,6,5,9
218,5,2,1,5,18:00,1081,40.25939941,-81.9641037,4,0,5,7,4,5,1,0,0
219,3,2,1,9,07:00,418,43.13110352,-88.33589935,6,6,8,6,7,8,4,0,0
220,4,2,1,3,14:00,887,39.90559387,-75.48739624,4,5,5,4,6,5,2,0,0
221,2,1,1,7,07:00,462,43.51899719,-96.73220062,2,0,2,3,0,4,2,2,2
222,4,2,1,5,06:00,389,38.34150696,-82.51799774,2,3,4,5,3,7,1,1,0
223,5,1,1,7,18:00,1076,32.85740662,-96.87059784,5,7,6,5,9,8,1,0,0
224,4,1,5,10,08:00,510,39.27679443,-76.90149689,2,1,2,3,4,5,2,4,5
