ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,Company,Regard,Privacy,Recommend
120,3,2,1,9,15:00,895,35.07679749,-82.43609619,Facebook,2,0,6
121,3,1,1,9,15:00,913,40.71279907,-73.29620361,Facebook,4,2,8
122,3,1,3,9,6:00,353,40.7322998,-74.07540131,Facebook,6,9,9
123,5,1,1,5,16:00,948,34.99650574,-82.3286972,Facebook,4,1,8
124,2,1,5,8,15:00,867,40.89630127,-74.15129852,Facebook,5,5,6
125,2,1,1,8,16:00,920,40.52999878,-74.22059631,Facebook,6,3,8
126,5,2,2,5,16:00,994,28.0381012,-80.6115036,Facebook,5,5,10
127,3,2,3,7,17:00,1013,41.56350708,-93.78420258,Facebook,5,1,7
128,3,2,1,5,18:00,1067,27.51480103,-80.31089783,Facebook,6,5,10
129,2,1,1,4,7:00,390,40.71499634,-111.8934021,Facebook,5,4,6
130,4,2,1,8,5:00,283,35.17869568,-89.75650024,Facebook,6,5,5
131,3,1,1,5,18:00,1093,41.70910645,-87.75959778,Facebook,3,1,5
132,3,1,1,9,6:00,405,42.97419739,-78.84809875,Facebook,5,1,8
133,3,1,1,9,8:00,446,34.19650269,-118.8188019,Facebook,4,7,6
134,3,1,1,5,7:00,367,42.28900146,-83.36859894,Facebook,4,1,5
135,2,2,3,5,19:00,1093,34.13589478,-117.155304,Facebook,4,3,5
136,2,2,1,5,19:00,1141,40.09790039,-75.10780334,Facebook,5,6,7
137,2,2,1,5,18:00,1069,36.26429749,-95.82769775,Facebook,5,6,5
138,2,2,1,5,18:00,1107,40.10049438,-74.72029877,Facebook,4,4,7
139,3,1,1,8,5:00,276,47.82090759,-122.3151016,Facebook,4,7,5
140,6,1,1,5,20:00,1182,42.69290161,-87.8042984,Facebook,3,3,7
141,2,1,1,9,8:00,456,42.88639832,-78.87809753,Facebook,5,8,7
142,5,1,1,8,7:00,426,40.71429443,-74.0059967,Facebook,2,2,5
143,3,2,1,11,10:00,614,40.73080444,-73.99749756,Facebook,5,4,7
144,3,1,3,8,11:00,642,35.186203,-80.74790192,Facebook,6,7,7
145,5,1,1,9,21:00,1237,42.42810059,-71.05460358,Facebook,4,5,8
146,3,2,1,4,12:00,730,27.94749451,-81.92040253,Facebook,7,8,10
147,2,1,4,5,13:00,762,46.84880066,-92.20320129,Facebook,2,3,5
148,4,2,1,11,21:00,1247,30.37609863,-91.17829895,Facebook,1,0,0
149,2,1,1,8,8:00,528,39.38699341,-74.62169647,Facebook,5,6,7
150,3,1,1,9,8:00,426,40.72140503,-74.00520325,Facebook,7,10,10
151,2,2,1,3,10:00,587,25.78059387,-80.18260193,Facebook,5,5,7
152,3,1,1,7,13:00,826,43.53669739,-96.6984024,Facebook,3,1,3
153,3,1,1,5,11:00,673,41.42790222,-71.53639984,Facebook,1,0,0
154,3,1,1,7,10:00,634,33.57369995,-80.35610199,Facebook,5,1,5
155,2,1,2,8,6:00,353,31.15029907,-85.41139984,Facebook,3,4,4
156,3,1,2,5,13:00,816,25.73629761,-80.40440369,Facebook,6,3,3
